"year","work","work_url","show_name","show_url","location","location_url","city"
"2025","Chia Seed","","Manifold 2.0","","Goldsmiths","","London"
"2024","Dreamspace II","","Not Yet But Soon","https://www.loopdelirium.com/not-yet-but-soon","Hypha Studios - Sugar House Island","","London"
"2024","QR Clock","","Not Yet But Soon","https://www.loopdelirium.com/not-yet-but-soon","Hypha Studios - Sugar House Island","","London"
"2024","Endless","","Not Yet But Soon","https://www.loopdelirium.com/not-yet-but-soon","Hypha Studios - Sugar House Island","","London"
"2023","Kore","","Open Studios","","Proposition Studios - Camden","","London"
"2024","Endless","","Manifold","","Goldsmiths","","London"
"2023","Mania 04","","A-SIDE | B-SIDE","","Goldsmiths","","London"
"2020","Dreamspace","","Chimera Garden","https://2020.goldcomparts.show/artists/julian-bramley-burgess","Goldsmiths","","London"
"2019","Genetic Construction","","So How’s That Working For You?","","Goldsmiths","","London"
"2019","Overcurrents","","Horniman X Goldsmiths","","Horniman Museum","https://www.horniman.ac.uk/","London"
"2014","Merry Times","","Parallax","http://holocenter.org/parallax","Holocenter - Center for Holographic Arts","https://holocenter.org/","New York City"
